name,price,reference_price,reference_unit,supermarket,url,category,insert_date,product_id
Cuscús grano mediano Gallo 500 g.,1.42,2.84,kg,carrefour-es,https://www.carrefour.es/supermercado/cuscus-grano-mediano-gallo-500-g-gallo/R-521005574/p,la_despensa_alimentacion_arroz_y_cous_cous,2021-04-06 00:00:00,523833ad928a07f017b4be6693292930
Harina de trigo integral Gallo 1 kg.,1.14,1.14,kg,carrefour-es,https://www.carrefour.es/supermercado/harina-de-trigo-integral-gallo-1-kg-gallo/R-728807127/p,la_despensa_alimentacion_harinas_y_levaduras,2021-04-06 00:00:00,1886312893dcb815c213d7399c74fe8b
Harina de centeno integral ecológica Carrefour 500 g.,1.27,2.54,kg,carrefour-es,https://www.carrefour.es/supermercado/harina-de-centeno-integral-ecologica-carrefour-500-g-carrefour/R-prod760082/p,la_despensa_alimentacion_harinas_y_levaduras,2021-04-06 00:00:00,c9f7df6bb914b28b8527ae679b06afed
Orégano Carmencita 8 g.,1.49,186.25,kg,carrefour-es,https://www.carrefour.es/supermercado/oregano-carmencita-8-g-carmencita/R-521005073/p,la_despensa_alimentacion_especias_y_sazonadores,2021-04-06 00:00:00,1cd3658a99f4172752eefafe995ecd36
Hierbas provenzales Carmencita 20 g.,1.49,74.5,kg,carrefour-es,https://www.carrefour.es/supermercado/hierbas-provenzales-carmencita-20-g-carmencita/R-521005067/p,la_despensa_alimentacion_especias_y_sazonadores,2021-04-06 00:00:00,5296b7386129c8759d2212838b1943ac
Molinillo sazonador 5 pimientas Carrefour 40 g.,1.28,32.0,kg,carrefour-es,https://www.carrefour.es/supermercado/molinillo-sazonador-5-pimientas-carrefour-40-g-carrefour/R-prod710287/p,la_despensa_alimentacion_especias_y_sazonadores,2021-04-06 00:00:00,29df1e568d33856cb59b6f5738bf49d1
Ajo granulado Carrefour 350 g.,2.39,6.83,kg,carrefour-es,https://www.carrefour.es/supermercado/ajo-granulado-carrefour-350-g-carrefour/R-prod710299/p,la_despensa_alimentacion_especias_y_sazonadores,2021-04-06 00:00:00,e9a04e1630961690a28ab6431e17be8b
Colorante alimentario Carmencita 60 g.,1.49,24.03,kg,carrefour-es,https://www.carrefour.es/supermercado/colorante-alimentario-carmencita-60-g-carmencita/R-521005053/p,la_despensa_alimentacion_especias_y_sazonadores,2021-04-06 00:00:00,49c71680162379b7620cd0a9eb28116a
Canela molida Carmencita 40 g.,1.49,37.25,kg,carrefour-es,https://www.carrefour.es/supermercado/canela-molida-carmencita-40-g-carmencita/R-521005045/p,la_despensa_alimentacion_especias_y_sazonadores,2021-04-06 00:00:00,9869bf7b3f2c7179705df4be9522a929
Preparado de coco natural sin azúcar añadido Kaiku BeGetal sin gluten pack de 2 unidades de 115 g.,1.79,7.78,kg,carrefour-es,https://www.carrefour.es/supermercado/preparado-de-coco-natural-sin-azucar-anadido-kaiku-begetal-sin-gluten-pack-de-2-unidades-de-115-g/R-VC4AECOMM-592374/p,la_despensa_yogures_y_postres_vegetal,2021-04-06 00:00:00,9ee9461b169f5beabacf582a09e8fcff
